creative_id,creative_name,period,channel,campaign,spend,impressions,clicks,installs,payers,high_value_players,revenue_d7,predicted_ltv_d30,thumbnail,text_hook,visual_motif,hero_archetype,art_style
cr_011,Eclipse Oracle Bundle,holdout,TikTok,Holdout Creative Batch,7600,360000,11800,2680,165,59,7880,19116,/skins/generated/celestial-dragon.png,An eclipse bundle for late-game spenders,celestial-dragon,oracle,mythic-luxury
cr_012,Gilded Vault Mastermind,history,Meta,Heist Season,8000,360000,11500,2600,155,51,8322,18293,/skins/generated/gilded-vault.png,Crack the vault with a mastermind set,gilded-vault,mastermind,gilded-luxury
cr_013,Obsidian Heist Set,history,TikTok,Heist Season,7000,320000,10200,2350,138,45,7141,15695,/skins/generated/gilded-vault.png,Obsidian armor for the endgame crew,gilded-vault,mastermind,gilded-luxury
cr_014,Platinum Vault Mastermind,holdout,Meta,Holdout Creative Batch,7500,340000,10800,2450,141,46,7499,16484,/skins/generated/gilded-vault.png,Platinum vault set for the endgame crew,gilded-vault,mastermind,gilded-luxury
cr_015,Crimson Court Duelist,history,TikTok,Dark Royale,7700,370000,11300,2500,133,38,6754,14137,/skins/generated/gothic-vampire.png,Win the duel before midnight,gothic-vampire,assassin,dark-fantasy
cr_016,Bloodmoon Assassin,history,Meta,Dark Royale,6800,320000,10200,2300,120,35,5848,12240,/skins/generated/gothic-vampire.png,Strike from the shadows this bloodmoon,gothic-vampire,assassin,dark-fantasy
cr_017,Vampire Moon Assassin,holdout,TikTok,Holdout Creative Batch,6900,330000,9800,2180,111,32,5815,12172,/skins/generated/gothic-vampire.png,A midnight assassin for clutch duels,gothic-vampire,assassin,dark-fantasy
cr_018,Nightfall Duelist,holdout,Meta,Holdout Creative Batch,6200,300000,9400,2050,102,30,5119,10714,/skins/generated/gothic-vampire.png,Duel at nightfall for the crimson crown,gothic-vampire,assassin,dark-fantasy
cr_019,Tidebreaker Guardian,history,Meta,Seasonal Test,6100,260000,7400,1750,87,25,4806,10166,/skins/generated/ocean-guardian.png,Claim the reef guardian armor,mythic-ocean,guardian,painted-fantasy
cr_020,Reef Warden Ascend,history,Google UAC,Seasonal Test,5600,240000,7000,1650,80,23,4324,9148,/skins/generated/ocean-guardian.png,Ascend as the warden of the tides,mythic-ocean,guardian,painted-fantasy
cr_021,Coral Guardian Rise,holdout,Google UAC,Holdout Creative Batch,5900,250000,7200,1700,81,23,4464,9443,/skins/generated/ocean-guardian.png,Rise as the coral guardian of the reef,mythic-ocean,guardian,painted-fantasy
cr_022,Nitro Alley Rogue,history,Google UAC,Arcade Test,6600,280000,9300,2100,90,23,4356,8712,/skins/generated/street-racing.png,Drift into battle with a rogue racer,street-racing,rogue,urban-arcade
cr_023,Drift Circuit Rogue,history,TikTok,Arcade Test,5900,250000,8400,1900,80,20,3816,7632,/skins/generated/street-racing.png,Own the circuit with a drift rogue,street-racing,rogue,urban-arcade
cr_024,Turbo Alley Rogue,holdout,TikTok,Holdout Creative Batch,6200,260000,8800,2000,83,21,3928,7857,/skins/generated/street-racing.png,Turbo drift into the ranked arena,street-racing,rogue,urban-arcade
cr_025,Chibi Festival Parade,history,TikTok,Casual Install Push,18000,1100000,52000,17500,728,121,10336,19246,/skins/generated/chibi-festival.png,Collect cute outfits during the weekend festival,chibi-festival,mascot,pop-cute
cr_026,Bubble Tea Mascot Drop,history,Meta,Casual Install Push,9500,560000,27000,8900,363,60,5345,9952,/skins/generated/chibi-festival.png,The cutest daily login reward is here,chibi-festival,mascot,pop-cute
cr_027,Chibi Lantern Party,history,TikTok,Casual Install Push,12000,720000,34000,11200,489,82,7238,13478,/skins/generated/chibi-festival.png,Light the lanterns in this cozy parade,chibi-festival,mascot,pop-cute
cr_028,Chibi Fireworks Mascot,holdout,TikTok,Holdout Creative Batch,15500,900000,43500,14600,625,104,9170,17075,/skins/generated/chibi-festival.png,Free fireworks outfit for all players,chibi-festival,mascot,pop-cute
cr_029,Mascot Sticker Rush,holdout,Meta,Holdout Creative Batch,8800,520000,25000,8300,349,58,5104,9504,/skins/generated/chibi-festival.png,Grab the sticker rush login rewards,chibi-festival,mascot,pop-cute
cr_030,Cozy Familiar Picnic,history,Meta,Creator Spark,8500,620000,30200,9800,355,58,3998,8163,/skins/generated/cozy-pets.png,Relax with your familiar after battle,cozy-pets,healer,soft-fantasy
cr_031,Cozy Tea Garden,history,Meta,Creator Spark,7200,520000,25000,8100,288,47,3318,6774,/skins/generated/cozy-pets.png,Sip and rest in the tea garden,cozy-pets,healer,soft-fantasy
cr_032,Cozy Bunny Healer,holdout,Meta,Holdout Creative Batch,7800,510000,22500,7300,278,45,3856,7873,/skins/generated/cozy-pets.png,Daily care quests with a soft healer,cozy-pets,healer,soft-fantasy
cr_033,Cozy Star Nap,holdout,TikTok,Holdout Creative Batch,6600,470000,21000,6900,258,42,3200,6533,/skins/generated/cozy-pets.png,Nap under the stars with your familiar,cozy-pets,healer,soft-fantasy
cr_034,Pixel Arena Gunner,history,TikTok,Retro CPI Test,8200,460000,19800,6400,223,31,3341,6840,/skins/generated/retro-arcade.png,Old-school boss rush starts now,retro-arcade,gunner,arcade-pop
cr_035,Retro Boss Rush,history,Meta,Retro CPI Test,6800,380000,16500,5300,198,28,2970,6082,/skins/generated/retro-arcade.png,Blast through the retro boss rush,retro-arcade,gunner,arcade-pop
cr_036,Pixel Gunner Remix,holdout,Meta,Holdout Creative Batch,7400,410000,17400,5600,206,29,3170,6491,/skins/generated/retro-arcade.png,Retro remix skin with arcade loot,retro-arcade,gunner,arcade-pop
cr_037,Arcade Loot Blast,holdout,TikTok,Holdout Creative Batch,6200,350000,15000,4900,176,25,2604,5332,/skins/generated/retro-arcade.png,Blast the arcade loot vault open,retro-arcade,gunner,arcade-pop
cr_038,Candy Sprint Starter Pack,history,TikTok,D7 ROAS Trap,9200,760000,39800,15400,1124,67,14661,9274,/skins/generated/hypercasual-candy.png,Grab a candy runner bundle before the timer ends,candy-rush,runner,hypercasual-gloss
cr_039,Sugar Rush Login Skin,history,Meta,D7 ROAS Trap,7800,610000,31800,12100,947,56,13336,8436,/skins/generated/hypercasual-candy.png,Fast candy rewards for every new player,candy-rush,runner,hypercasual-gloss
cr_040,Gummy Dash Weekend Deal,history,Google UAC,D7 ROAS Trap,8400,670000,34400,13400,1029,61,14083,8908,/skins/generated/hypercasual-candy.png,Dash through gummies and claim an instant deal,candy-rush,runner,hypercasual-gloss
cr_041,Candy Dash Fire Sale,holdout,TikTok,Holdout Creative Batch,8800,690000,35600,13900,1046,62,14462,9148,/skins/generated/hypercasual-candy.png,Fire-sale candy runner bundle for new players,candy-rush,runner,hypercasual-gloss
cr_042,Sugar Pop Starter Skin,holdout,Meta,Holdout Creative Batch,7600,590000,30200,11600,855,51,12238,7741,/skins/generated/hypercasual-candy.png,Pop into the arena with a starter skin,candy-rush,runner,hypercasual-gloss
